CRASH_UNIT_ID,CRASH_RECORD_ID,CRASH_DATE,UNIT_NO,UNIT_TYPE,NUM_PASSENGERS,VEHICLE_ID,CMRC_VEH_I,MAKE,MODEL,LIC_PLATE_STATE,VEHICLE_YEAR,VEHICLE_DEFECT,VEHICLE_TYPE,VEHICLE_USE,TRAVEL_DIRECTION,MANEUVER,TOWED_I,FIRE_I,OCCUPANT_CNT,EXCEED_SPEED_LIMIT_I,TOWED_BY,TOWED_TO,AREA_00_I,AREA_01_I,AREA_02_I,AREA_03_I,AREA_04_I,AREA_05_I,AREA_06_I,AREA_07_I,AREA_08_I,AREA_09_I,AREA_10_I,AREA_11_I,AREA_12_I,AREA_99_I,FIRST_CONTACT_POINT,CMV_ID,USDOT_NO,CCMC_NO,ILCC_NO,COMMERCIAL_SRC,GVWR,CARRIER_NAME,CARRIER_STATE,CARRIER_CITY,HAZMAT_PLACARDS_I,HAZMAT_NAME,UN_NO,HAZMAT_PRESENT_I,HAZMAT_REPORT_I,HAZMAT_REPORT_NO,MCS_REPORT_I,MCS_REPORT_NO,HAZMAT_VIO_CAUSE_CRASH_I,MCS_VIO_CAUSE_CRASH_I,IDOT_PERMIT_NO,WIDE_LOAD_I,TRAILER1_WIDTH,TRAILER2_WIDTH,TRAILER1_LENGTH,TRAILER2_LENGTH,TOTAL_VEHICLE_LENGTH,AXLE_CNT,VEHICLE_CONFIG,CARGO_BODY_TYPE,LOAD_TYPE,HAZMAT_OUT_OF_SERVICE_I,MCS_OUT_OF_SERVICE_I,HAZMAT_CLASS
1124782,4240e1b941940b360b02c0ef75b70057268119c56b6308132b5a92fafcc2a81124aa1d975b60c73725ce9364ba633512df5f6d5035fb198273be9eb7f066102c,06/23/2021 02:58:00 PM,1,DRIVER,,1066904,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,,UNKNOWN,PASSENGER,PERSONAL,N,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124783,4240e1b941940b360b02c0ef75b70057268119c56b6308132b5a92fafcc2a81124aa1d975b60c73725ce9364ba633512df5f6d5035fb198273be9eb7f066102c,06/23/2021 02:58:00 PM,2,DRIVER,,1066908,,DODGE,JOURNEY,IL,2018,NONE,SPORT UTILITY VEHICLE (SUV),PERSONAL,S,UNKNOWN/NA,,,1,,,,,Y,,,,,,,,,,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120932,ad86b8f0f8c18e5745458337f1ae28ed118f8232db48a98f84b5a4b5dbe74396546eb70097cf0c173ab006cafd1be249975855a039a6f0081bd1dd13068b24ae,06/17/2021 10:45:00 PM,1,DRIVER,,1063232,,MERCEDES-BENZ,E320,IL,2007,UNKNOWN,PASSENGER,PERSONAL,S,LEAVING TRAFFIC LANE TO PARK,,,1,,,,,,,,,Y,,,,,,,,,REAR-RIGHT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120933,ad86b8f0f8c18e5745458337f1ae28ed118f8232db48a98f84b5a4b5dbe74396546eb70097cf0c173ab006cafd1be249975855a039a6f0081bd1dd13068b24ae,06/17/2021 10:45:00 PM,2,PARKED,3,1063216,,INFINITI,Q50,IL,2015,NONE,PASSENGER,NOT IN USE,S,PARKED,,,3,,,,,,,,,,,,,,,Y,,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119565,f23369e7052d00a484b7007c577d405c38ad11ce78126174b7cc4dd9fbbdeef88519bbbe64735092201f2fdca070f8a16940ba25cf99a72281c4265e4318887c,06/15/2021 09:30:00 PM,1,DRIVER,,1061924,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,,UNKNOWN,UNKNOWN/NA,UNKNOWN/NA,UNKNOWN,UNKNOWN/NA,,,1,,,,,,,,,,,,,,,,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119566,f23369e7052d00a484b7007c577d405c38ad11ce78126174b7cc4dd9fbbdeef88519bbbe64735092201f2fdca070f8a16940ba25cf99a72281c4265e4318887c,06/15/2021 09:30:00 PM,2,PARKED,,1061937,,HONDA,CIVIC,IL,2008,NONE,PASSENGER,NOT IN USE,S,PARKED,,,0,,,,,,,,,,,,,,,Y,,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119966,6b700d7acd22c7ed42c849a8f13b202dbb0313fd94f0a09e1dce1caa348f720b989f4fb7c7d3bf3d9dc7eb380ec85040f7a89a824e833b0d4d38535736bcd57d,06/15/2021 04:00:00 PM,1,DRIVER,,1062310,,CADILLAC,ESCALADE,IL,2005,NONE,PASSENGER,PERSONAL,SW,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119967,6b700d7acd22c7ed42c849a8f13b202dbb0313fd94f0a09e1dce1caa348f720b989f4fb7c7d3bf3d9dc7eb380ec85040f7a89a824e833b0d4d38535736bcd57d,06/15/2021 04:00:00 PM,2,DRIVER,,1062316,,BUICK,ENVISION,IL,2017,NONE,PASSENGER,PERSONAL,SW,SLOW/STOP IN TRAFFIC,,,1,,,,,,,,,,,,,,,,,,REAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117791,024fda40a87c0513c7971b53a2c2757906f920be3f71b8c0904f771f69df7f0a724cd205b054a98bb700e51d94f497a6e8b67672e922114f1ef7ae3e33dff9b9,06/14/2021 03:00:00 PM,1,DRIVER,,1060260,,HONDA,OTHER (EXPLAIN IN NARRATIVE),IL,2005,NONE,PASSENGER,UNKNOWN/NA,E,STRAIGHT AHEAD,,,1,,,,,,,,,,,,Y,Y,Y,Y,,,SIDE-LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117792,024fda40a87c0513c7971b53a2c2757906f920be3f71b8c0904f771f69df7f0a724cd205b054a98bb700e51d94f497a6e8b67672e922114f1ef7ae3e33dff9b9,06/14/2021 03:00:00 PM,2,DRIVER,,1060262,,NISSAN,SENTRA,IL,2010,NONE,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,,,1,,,,,Y,,,,,,,,,,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
